TOPIC                                       PARTITION  CURRENT-OFFSET  LOG-END-OFFSET  LAG             CONSUMER-ID                                          HOST                                    CLIENT-ID
LOC-GROUP_MEMBERS                           0          1924387461      1924490063      102602          -                                                    -                                       -
LOC-GROUP_MEMBERS                           10         1908512621      1908568903      56282           -                                                    -                                       -
LOC-GROUP_MEMBERS                           11         1916649781      1916704409      54628           -                                                    -                                       -
LOC-GROUP_MEMBERS                           1          1924587405      1924652107      64702           -                                                    -                                       -
LOC-GROUP_MEMBERS                           12         1917262043      1917316468      54425           -                                                    -                                       -
LOC-GROUP_MEMBERS                           13         1913076447      1913130916      54469           -                                                    -                                       -
LOC-GROUP_MEMBERS                           14         1897677267      1897731116      53849           -                                                    -                                       -
LOC-GROUP_MEMBERS                           15         1915662059      1915714563      52504           -                                                    -                                       -
LOC-GROUP_MEMBERS                           16         2421985352      3452273137      1030287785      -                                                    -                                       -
LOC-GROUP_MEMBERS                           17         1924069039      1924124081      55042           -                                                    -                                       -
LOC-GROUP_MEMBERS                           18         1925646439      1925701204      54765           -                                                    -                                       -
LOC-GROUP_MEMBERS                           19         1912874345      1912928596      54251           -                                                    -                                       -
LOC-GROUP_MEMBERS                           20         1925789432      1925842184      52752           -                                                    -                                       -
LOC-GROUP_MEMBERS                           21         2524457416      3282435049      757977633       -                                                    -                                       -
LOC-GROUP_MEMBERS                           2          1924457379      1924520120      62741           -                                                    -                                       -
LOC-GROUP_MEMBERS                           22         1941100568      1941156320      55752           -                                                    -                                       -
LOC-GROUP_MEMBERS                           23         1872146780      1872206545      59765           -                                                    -                                       -
LOC-GROUP_MEMBERS                           24         1914684916      1914745523      60607           -                                                    -                                       -
LOC-GROUP_MEMBERS                           25         1865485082      1865540285      55203           -                                                    -                                       -
LOC-GROUP_MEMBERS                           26         1874120150      1874176037      55887           -                                                    -                                       -
LOC-GROUP_MEMBERS                           27         1864964880      1865047472      82592           -                                                    -                                       -
LOC-GROUP_MEMBERS                           28         2361053757      3349428382      988374625       -                                                    -                                       -
LOC-GROUP_MEMBERS                           29         1879574476      1879682300      107824          -                                                    -                                       -
LOC-GROUP_MEMBERS                           3          1923461520      1923578681      117161          -                                                    -                                       -
LOC-GROUP_MEMBERS                           4          2514855596      3421795856      906940260       -                                                    -                                       -
LOC-GROUP_MEMBERS                           5          1934618895      1934673130      54235           -                                                    -                                       -
LOC-GROUP_MEMBERS                           6          1887823401      1887885911      62510           -                                                    -                                       -
LOC-GROUP_MEMBERS                           7          1900653458      1900707812      54354           -                                                    -                                       -
LOC-GROUP_MEMBERS                           8          1921578683      1921633644      54961           -                                                    -                                       -
LOC-GROUP_MEMBERS                           9          3497841308      3497895519      54211           -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 0          620607477       620610129       2652            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 10         620385228       620386885       1657            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 11         620630664       620643259       12595           -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 12         621468273       621471000       2727            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 13         620973092       620986064       12972           -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 14         621162503       621165229       2726            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 15         621116540       621118820       2280            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 1          620216464       620229069       12605           -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 16         620659701       620661196       1495            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 17         620642126       620655427       13301           -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 18         680312700       680315520       2820            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 19         620833611       620846277       12666           -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 20         621142913       621145856       2943            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 21         620344596       620347173       2577            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 22         621582341       621583914       1573            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 23         621149627       621162583       12956           -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 24         621011993       621014669       2676            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 25         620730684       620743305       12621           -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 26         620579066       620582237       3171            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 2          720496835       720499733       2898            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 27         620939990       620942521       2531            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 28         621155464       621157010       1546            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 29         621253500       621266123       12623           -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 3          621453209       621455853       2644            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 4          620677155       620678753       1598            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 5          621176005       621188956       12951           -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 6          620807920       620810630       2710            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 7          621001332       621013715       12383           -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 8          620684683       620687945       3262            -                                                    -                                       -
LOINT-GROUP_MEMBERS-GROUP_MEMBERSHIP_CHANGE 9          620685402       620688082       2680            -                                                    -                                       -
LONXT-CONTACTABLE_ENTITY_EXTENSION          0          52391579        52391579        0               group-members-0-3a2f7d0a-46ca-47ca-a165-edc6cf394b3b ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-0
LONXT-CONTACTABLE_ENTITY_EXTENSION          10         64756615        64756615        0               group-members-0-3a2f7d0a-46ca-47ca-a165-edc6cf394b3b ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-0
LONXT-CONTACTABLE_ENTITY_EXTENSION          11         52530227        52530227        0               group-members-1-1c4eefe2-8e56-47d8-8d40-ef2aef8f3a09 ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-1
LONXT-CONTACTABLE_ENTITY_EXTENSION          12         52601275        52601275        0               group-members-2-f68fba68-59cc-4e99-a336-d5997bcf626e ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-2
LONXT-CONTACTABLE_ENTITY_EXTENSION          13         64653406        64653406        0               group-members-3-f8f2593c-e89b-471e-9f2f-7e42739ad769 ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-3
LONXT-CONTACTABLE_ENTITY_EXTENSION          14         91933143        91933143        0               group-members-4-d93e3de2-ba09-4d07-97c0-118c795956fe ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-4
LONXT-CONTACTABLE_ENTITY_EXTENSION          1          52365626        52365626        0               group-members-1-1c4eefe2-8e56-47d8-8d40-ef2aef8f3a09 ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-1
LONXT-CONTACTABLE_ENTITY_EXTENSION          15         49251901        49251901        0               group-members-0-3a2f7d0a-46ca-47ca-a165-edc6cf394b3b ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-0
LONXT-CONTACTABLE_ENTITY_EXTENSION          16         52488095        52488095        0               group-members-1-1c4eefe2-8e56-47d8-8d40-ef2aef8f3a09 ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-1
LONXT-CONTACTABLE_ENTITY_EXTENSION          17         102512353       102512353       0               group-members-2-f68fba68-59cc-4e99-a336-d5997bcf626e ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-2
LONXT-CONTACTABLE_ENTITY_EXTENSION          18         52590358        52590358        0               group-members-3-f8f2593c-e89b-471e-9f2f-7e42739ad769 ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-3
LONXT-CONTACTABLE_ENTITY_EXTENSION          19         48751788        48751788        0               group-members-4-d93e3de2-ba09-4d07-97c0-118c795956fe ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-4
LONXT-CONTACTABLE_ENTITY_EXTENSION          20         52284306        52284306        0               group-members-0-3a2f7d0a-46ca-47ca-a165-edc6cf394b3b ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-0
LONXT-CONTACTABLE_ENTITY_EXTENSION          21         52396672        52396672        0               group-members-1-1c4eefe2-8e56-47d8-8d40-ef2aef8f3a09 ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-1
LONXT-CONTACTABLE_ENTITY_EXTENSION          22         52534113        52534113        0               group-members-2-f68fba68-59cc-4e99-a336-d5997bcf626e ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-2
LONXT-CONTACTABLE_ENTITY_EXTENSION          23         90411845        90411845        0               group-members-3-f8f2593c-e89b-471e-9f2f-7e42739ad769 ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-3
LONXT-CONTACTABLE_ENTITY_EXTENSION          24         64828291        64828291        0               group-members-4-d93e3de2-ba09-4d07-97c0-118c795956fe ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-4
LONXT-CONTACTABLE_ENTITY_EXTENSION          2          52745371        52745371        0               group-members-2-f68fba68-59cc-4e99-a336-d5997bcf626e ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-2
LONXT-CONTACTABLE_ENTITY_EXTENSION          25         52414437        52414437        0               group-members-0-3a2f7d0a-46ca-47ca-a165-edc6cf394b3b ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-0
LONXT-CONTACTABLE_ENTITY_EXTENSION          26         64416537        64416537        0               group-members-1-1c4eefe2-8e56-47d8-8d40-ef2aef8f3a09 ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-1
LONXT-CONTACTABLE_ENTITY_EXTENSION          27         52764408        52764408        0               group-members-2-f68fba68-59cc-4e99-a336-d5997bcf626e ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-2
LONXT-CONTACTABLE_ENTITY_EXTENSION          28         52136529        52136529        0               group-members-3-f8f2593c-e89b-471e-9f2f-7e42739ad769 ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-3
LONXT-CONTACTABLE_ENTITY_EXTENSION          29         52388417        52388417        0               group-members-4-d93e3de2-ba09-4d07-97c0-118c795956fe ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-4
LONXT-CONTACTABLE_ENTITY_EXTENSION          3          52380314        52380314        0               group-members-3-f8f2593c-e89b-471e-9f2f-7e42739ad769 ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-3
LONXT-CONTACTABLE_ENTITY_EXTENSION          4          101480282       101480282       0               group-members-4-d93e3de2-ba09-4d07-97c0-118c795956fe ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-4
LONXT-CONTACTABLE_ENTITY_EXTENSION          5          90320562        90320562        0               group-members-0-3a2f7d0a-46ca-47ca-a165-edc6cf394b3b ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-0
LONXT-CONTACTABLE_ENTITY_EXTENSION          6          52547939        52547939        0               group-members-1-1c4eefe2-8e56-47d8-8d40-ef2aef8f3a09 ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-1
LONXT-CONTACTABLE_ENTITY_EXTENSION          7          52277684        52277684        0               group-members-2-f68fba68-59cc-4e99-a336-d5997bcf626e ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-2
LONXT-CONTACTABLE_ENTITY_EXTENSION          8          47696262        47696262        0               group-members-3-f8f2593c-e89b-471e-9f2f-7e42739ad769 ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-3
LONXT-CONTACTABLE_ENTITY_EXTENSION          9          100064641       100064641       0               group-members-4-d93e3de2-ba09-4d07-97c0-118c795956fe ip-10-15-7-193.ec2.internal/10.15.7.193 group-members-4
